workshop_name,course_level,pre_reqs,pathways,workshop_description,live_regresitration_boolean,signup_closing_date,next_session_date,VerboseNextSession,InstallationLink,installation_instructions 
Introduction to R,1,,R DS,Over three sessions this workshop will provide an all-purpose introduction to the R programming language and may provide an accessible entry to computer programming in general.,Y,02/01/2024," 9/1/2024, 16/1/2024, 23/1/2024",,https://uniexeterrse.github.io/intro-to-r/setup.html,
Regression analysis with R,2,Introduction to R,R DS,In this hands on workshop you will learn how to fit and interpret a range of regression models with R and the link between regression and other common statistical tools.,Y,19/01/2024,26/01/2024,,https://uniexeterrse.github.io/intro-to-r/setup.html,
Advanced Regression Analysis With R ,3,Regression analysis with R,R DS,,,,,,,
Working With Data In R,2,Introduction to R,R DS,,,,,,,
Introduction to HPC,2,Introduction to Unix,HPC,Over two sessions learn about the high performance computing facilities at Exeter and how to use them.,N,25/10/2023,"1/11/2023, 8/11/2023",,https://uniexeterrse.github.io/intro-to-isca/setup.html,
Introduction to Version Control with Git and GitHub,2,Introduction to Unix,"HPC,Python DS,R DS",Over three sessions learn to use version control to manage your software development and collaborate effectively with others.,Y,05/12/2023,"12/12/2023, 19/12/2023",,https://uniexeterrse.github.io/intro-version-control/setup.html,
Introduction to Unix,1,,"HPC,Python DS,R DS",Over two sessions this workshop will introduce you to navigating the file system and show you how to carry out basic operations on the Unix systems using the shell (also referred to as the command line).,N,NA,"20/10/2023, 27/10/2023",, https://uniexeterrse.github.io/intro-unix-shell/setup.html,
Computational Thinking,1,,,Over two sessions this course will introduce you to some fundamental principles that are the basis of writing computer code in any language and should enable you to write develop and debug your code more effectively.,N,NA,,Summer 2024, ,
Software development best practice,1,,,Over two sessions learn about best practices in software development to improve your workflow and increase the impact of your research.,N,NA,, Summer 2024,,
Introduction to Julia ,1,,,,,,,,,
Introduction to Python,1,,"HPC,Python DS",Over two sessions learn the fundamentals of Python one of the most popular programming languages and get introduced to a variety of applications.,N,25/10/2023,"1/11/2023, 8/11/2023",, https://uniexeterrse.github.io/intro-to-python/setup.html,
Python for Data Analysis ,2,Introduction to Python,Python DS,,,,,,,