course_name,course_style
Introduction to Python,Live Coding
Python for Data Analysis,Live Coding
Introduction to R,Live Coding
Introduction to Regression with R,Live Coding
Regression Analysis in R: Adapting to Varied Data Types,Live Coding
Working with Data in R,Live Coding
Introduction to HPC,Live Coding
Introduction to Version Control,Live Coding
Intermediate Version Control,Live Coding
Introduction to Unix,Live Coding
Computational Thinking,Seminar
Software Development Best Practice,Seminar
Introduction to Julia,Live Coding
Parallel Computing,Live Coding
Introduction to Machine Learning,Hybrid
Improve your R Code,Live Coding
Introduction to Markdown in R,Live Coding
Using Markdown for Python,Live Coding
Mixed Effects Regression with R,Live Coding
Introduction to GPUs,Hybrid
Languages Drop In Sessions,Surgery
Practices Drop In Sessions,Surgery