Argument,Description,Example
bg,The color to be used for the background,"bg = ""blue"""
cex,Character size and expansion,"cex = 1.5, cex = 0.8"
cex.axis,The magnification to be used for axis annotation ,cex.axis = 1.2
cex.lab,he magnification to be used for x and y label,cex.lab = 0.8
cex.main,The magnification to be used for main titles,cex.main = 1.3
cex.sub,The magnification to be used for sub-titles,cex.sub = 0.9
col,Colour,"col = ""red"", col = ""#ff0000"""
family,Font on the plot,"family = ""Arial"""
fg,The colour to be used for the foreground of plots,"fg = ""orange"""
font,"An integer which specifies which font to use for text. Italic, bold etc.",font = 3
font.axis,The font to be used for axis annotation,font.axis = 2
font.lab,The font to be used for x and y labels,font.lab = 3
font.main,The font to be used for plot main titles,font.main = 2
font.sub,The font to be used for plot sub-titles,font.sub = 2
lty,Line type,lty = 2
lwd,Line width,lwd = 3
main,Plot primary title,"main = ""Iris"""
pch,Scatter plot symbol for points,"pch = 1, pch= ""p"""
srt,The string rotation in degrees,srt = 90
sub,Subtitle of plot,"sub = ""All data"""
"xlab, ylab",Label of the x or y axis,"xlab = ""Distance (Miles)"""
"xlim, ylim",Min/max x or y axis values,"xlim = c(0, 10)"
xpd,"If true, allows plotting outside the plot",xpd = TRUE